CHEM_ID;CHEMICAL_NAME;SUPER_PATHWAY;SUB_PATHWAY;HMDB;KEGG;Mean_WT;Mean_Disease;Mean_Rescue;Log2FC_Patho;p_value_Patho;Log2FC_Rescue;p_value_Rescue;Padj_Patho;Padj_Rescue;Significatif_Patho;Significatif_Rescue_Brut;Significatif_Rescue
100001851;N-acetylserine;Amino Acid;Glycine, Serine and Threonine Metabolism;HMDB0002931;;-0.17588651557415835;0.5465482532441867;-0.03932026614086362;0.722434768818345;7.136391074723118e-06;-0.5858685193850502;1.1525777431736373e-06;8.649174176058592e-05;2.635353434391614e-05;True;True;True
100001856;1-stearoyl-2-oleoyl-GPE (18:0/18:1);Lipid;Phosphatidylethanolamine (PE);HMDB0008993;;-1.3090840350777473;0.18108255725436964;-0.6326056788701317;1.490166592332117;0.0033859514100371075;-0.8136882361245014;0.06827910895893391;0.011644369483298346;0.11947834499941126;True;False;False
100001859;chiro-inositol;Lipid;Inositol Metabolism;HMDB0240209;C19891;-0.02801517233523058;-0.03149467814418379;-0.05019422338048485;-0.0034795058089532073;0.9748462927210562;-0.01869954523630106;0.8524357127281418;0.9771563550260823;0.8881288337044433;False;False;False
100001866;1-stearoyl-2-oleoyl-GPG (18:0/18:1);Lipid;Phosphatidylglycerol (PG);HMDB0010604;;-0.5430509967024291;-0.3410169539415363;-0.12173878118405469;0.20203404276089276;0.3663774649734345;0.21927817275748163;0.30072029642468856;0.5015458501092647;0.3878191627672051;False;False;False
100001869;1-stearoyl-2-arachidonoyl-GPC (18:0/20:4);Lipid;Phosphatidylcholine (PC);HMDB0008048;;-0.0010090980984150434;0.1189874823434639;-0.0834350481414038;0.11999658044187894;0.12011200728500646;-0.2024225304848677;0.015730911759443602;0.20908386453315936;0.03696764263469247;False;True;False
100001870;1-palmitoyl-2-linoleoyl-GPE (16:0/18:2);Lipid;Phosphatidylethanolamine (PE);HMDB0005322;;-0.04119693942383807;-0.1631369136450347;0.026935738988573227;-0.12193997422119662;0.22622122768565722;0.19007265263360792;0.029202381383043638;0.3442143140684641;0.05967443152187178;False;False;False
100001872;1-stearoyl-2-arachidonoyl-GPS (18:0/20:4);Lipid;Phosphatidylserine (PS);HMDB0012383;;-0.12086785579727452;0.16210464760318;-0.1453821097810016;0.28297250340045454;0.0004049739586153145;-0.30748675738418163;0.008050512242686056;0.0021547671005569566;0.021484963272278876;True;True;True
100001873;1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*;Lipid;Phosphatidylserine (PS);HMDB0010167;;0.01714611433434901;-0.05383197411957971;-0.06867998326460055;-0.07097808845392872;0.18523208065425753;-0.014848009145020838;0.8549613747468472;0.29345756598034056;0.8885716499211704;False;False;False
100001880;3-sulfo-nervonoyl-galactosylceramide (d18:1/24:1);Lipid;Glycosphingolipid Sulfates;;;-0.4680301790324382;0.15436117748666647;-0.12189641532649399;0.6223913565191047;0.15015128378354095;-0.2762575928131605;0.48735529119883325;0.2503159003067099;0.5692780234674946;False;False;False
100001882;glycosyl-N-stearoyl-sphingosine (d18:1/18:0);Lipid;Hexosylceramides (HCER);;;-0.36460109586132694;0.6026012910756134;-0.03411024900794057;0.9672023869369404;0.0012078750640402518;-0.636711540083554;0.020682400662121927;0.005109311520890265;0.04544756093546792;True;True;True
100001890;alanylleucine;Peptide;Dipeptide;HMDB0028691;;-0.5416760351811499;0.6120808243556395;-0.2971552259088881;1.1537568595367893;0.0005901812583130562;-0.9092360502645276;0.0006089549522987525;0.002853104825901975;0.002762679639376691;True;True;True
100001948;succinylcarnitine (C4-DC);Energy;TCA Cycle;HMDB0061717;;0.0543334289882519;0.050193481022856576;-0.05668199836457398;-0.004139947965395324;0.9667366339429765;-0.10687547938743056;0.2472036913064802;0.971329207025841;0.33248699975402585;False;False;False
100001956;N-methylproline;Amino Acid;"Urea cycle; Arginine and Proline Metabolism";HMDB0094696;;-0.20451508989367587;-0.1854119098569294;0.05940465056880158;0.019103180036746464;0.9287578443705551;0.24481656042573097;0.25774917023611854;0.9504054171889149;0.34393658993652415;False;False;False
100002060;1-docosahexaenoyl-GPE (22:6)*;Lipid;Lysophospholipid;HMDB11496;;0.17528117888398653;0.03283706814771267;-0.09105734514744637;-0.14244411073627386;0.49067652641296455;-0.12389441329515904;0.4799035017755646;0.6207429317878463;0.563104524968277;False;False;False
100002070;2-hydroxyglutarate;Lipid;Fatty Acid, Dicarboxylate;HMDB0059655;C02630;0.1489425650910689;-0.06445203824484635;-0.04786477454932629;-0.21339460333591526;0.21791349056224132;0.016587263695520063;0.9241673295694912;0.33397611053560894;0.9385901090225565;False;False;False
100002078;O-methyltyrosine;Amino Acid;Tyrosine Metabolism;HMDB0014903;D00762;-0.2537845355489154;0.194059445067486;-0.039354589067632964;0.4478439806164014;0.0021497510095039875;-0.23341403413511896;0.06768569691633256;0.008119148901965953;0.11904802409816495;True;False;False
100002103;5-methylthioribose**;Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;HMDB0001087;;0.12588218583530186;-0.07109381335800005;-0.10654837841815851;-0.19697599919330191;0.30691728437892196;-0.035454565060158455;0.8296026669650397;0.43492801102942713;0.8686186339757718;False;False;False
100002106;sphingomyelin (d18:1/18:1, d18:2/18:0);Lipid;Sphingomyelins;HMDB0012101;;-0.02222461827281942;0.04368359218271818;-0.06618874734969088;0.0659082104555376;0.13086596974626236;-0.10987233953240906;0.021112831672069236;0.2241145959622226;0.046153632027314144;False;True;False
