Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000054716;1.7858272082043611;1.7905816793646188;3.954412328659732;3.672589600872605;0.0040604193792396;0.6534840917238964;WT;1.1042953236120328;-0.1039376506650336;OUI;NON
ENSMUSG00000054863;2.956719243630743;5.419754440511873;6.61804718657836;4.848978375710186;0.0009266927669264;0.0165097194294917;WT;1.1360578805616257;-0.4409111904446565;OUI;NON
ENSMUSG00000055633;1.2988798488273283;1.6782875013789136;2.810216480375697;2.9590208868669614;0.0202229741225932;0.754751841342038;WT;1.0568544206193842;0.0719434836507839;OUI;NON
ENSMUSG00000055723;13.02299066348526;16.946507220586145;28.24997031815123;21.264389831041207;0.0024370565447483;0.0357159169727353;WT;1.1112506843354706;-0.4081391105926257;OUI;NON
ENSMUSG00000055733;0.2761049736609937;0.3548588064953618;0.7099023404029322;0.4949615687395235;0.0258828462307012;0.1628077501307937;WT;1.1066125706241507;-0.4449514742869959;OUI;NON
ENSMUSG00000055862;2.240012125771254;6.473331831957977;4.931500235865769;7.029259729031368;0.003389645004359;0.2700024262951175;WT;1.104472624906182;0.5027636506652978;OUI;NON
ENSMUSG00000056737;8.627989376985669;20.23309076780116;18.665439735993083;20.51113438528456;0.0131873706769416;0.6971151196729992;WT;1.1043568468708185;0.1353458116765113;OUI;NON
ENSMUSG00000057219;0.955001255624948;1.691640355538037;2.0554948699532027;1.8022522207175764;0.0138541407700961;0.6203307890635953;WT;1.0307744129492624;-0.1803105822795494;OUI;NON
ENSMUSG00000057606;7.153139194713539;2.362660779445365;14.544477487489289;6.436091062224556;0.0070589718117354;0.0096740016221046;WT;1.0136792780270896;-1.1638567303440444;OUI;OUI
ENSMUSG00000057667;2.960645735311523;4.316840730061126;6.052879438881497;5.166438701271661;0.0168600649843206;0.2850061092238897;WT;1.0074256593138502;-0.2244340194898721;OUI;NON
ENSMUSG00000058806;0.6896024999489786;16.689093862857206;1.591930300317817;12.02080472919296;0.0120304324312131;0.0941716085666644;WT;1.099471674726752;2.840743443512935;OUI;NON
ENSMUSG00000058833;17.446430510116226;18.13443750415316;35.82699349160045;29.0953517345431;0.0001058760245685;0.0153972430859743;WT;1.0338906388248488;-0.2993295178668042;OUI;NON
ENSMUSG00000059406;0.0103598350079516;0.0300775648152661;0.1874706876379112;0.0697936055233882;0.0345834960589862;0.0892298581403999;WT;1.3811996521590026;-0.7596327294830233;OUI;NON
ENSMUSG00000060935;7.367026076016192;19.80117351660498;15.20958513220829;20.75415123121505;0.0005368049093618;0.1002324768903832;WT;1.0358295141247298;0.4458994069980381;OUI;NON
ENSMUSG00000060938;9.52917470717683;11.329057514593485;20.861328033344;16.065579074433025;0.0028814093431606;0.0738804315813626;WT;1.1222460650254482;-0.3748049358569364;OUI;NON
