Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000069911;0.39729605633351966;0.2889518306962139;1.9901977331062668;1.7137300328969671;0.0019631076115732096;0.9571765838862977;WT treated;2.5016784376078163;-0.06293561018787143;OUI;NON
ENSMUSG00000069920;1.382958431658643;1.1009568740469529;2.7603719012125887;1.3943729319018596;0.00014065169620307763;0.0004785678318866339;WT treated;1.0640260657183365;-0.8584269806377497;OUI;OUI
ENSMUSG00000070047;5.062697713071116;4.319946322037923;11.404029964989041;6.434741491355833;1.734008134571441e-05;0.0005850903611554802;WT treated;1.1333150032707722;-0.6913725131817217;OUI;OUI
ENSMUSG00000070305;2.320690397485918;2.1464151803896883;7.652573928851036;2.866664392755079;1.6358051336309235e-06;2.5731201270867447e-07;WT treated;1.5656667503642119;-1.2851062195572633;OUI;OUI
ENSMUSG00000070348;5.519491613029097;6.111350308437761;15.737422117482682;7.948511422615004;9.519962958851772e-05;0.0056240123435018;WT treated;1.0823164518889605;-0.8496373917037671;OUI;OUI
ENSMUSG00000070469;3.152838325305746;1.8504524120460344;4.493827501803186;4.343862066936512;0.00048181056306476094;0.8498777688089748;WT treated;1.0190736891146854;0.08400416432572731;OUI;NON
ENSMUSG00000070498;0.757285699463979;0.7848890820921922;0.20098734064422175;0.2526961783759168;0.00033132355567728566;0.6728789892257805;WT treated;-2.247892884397977;0.4677219683109203;OUI;NON
ENSMUSG00000070564;0.46545838600061;0.4656398807968689;0.1314496987234676;0.2909723744639913;0.009214867916957971;0.09446162819202865;WT treated;-2.1020076216076196;1.282758754435546;OUI;NON
ENSMUSG00000070695;0.053490875495638586;0.033169516829267505;1.0024923941367374;0.04854796297265104;0.0004642948595304627;9.145614843373565e-07;WT treated;4.6924589106951;-4.237003778362899;OUI;OUI
ENSMUSG00000070803;6.180248520840165;9.598199588691614;4.660192658266101;5.9229428864300075;0.00014545222492102022;0.25146134113037755;WT treated;-1.3268694811217512;0.47325846570154484;OUI;NON
ENSMUSG00000070822;1.4828877583145363;0.9095988296851027;3.9529075918225622;3.085083085337153;7.814360276757105e-09;0.5558111846064491;WT treated;1.8596222736290493;-0.22638840414309627;OUI;NON
ENSMUSG00000071036;1.0965766312377467;0.9086414476083835;0.22961212153874988;0.6356571421933856;0.0154698714894336;0.05818282447584755;WT treated;-2.2350718207182885;1.592231947968709;OUI;NON
ENSMUSG00000071552;0.007425657583562706;0.0;0.6557849115681148;0.04864314253697412;0.034895738117095156;2.178718532990448e-05;WT treated;6.519520888465408;-3.6276098442319333;OUI;OUI
ENSMUSG00000071656;5.876079508410381;3.104192377021164;8.13530667312718;7.360458650214135;0.004267849787783465;0.9803906802767399;WT treated;1.134309689409886;-0.013045640311681145;OUI;NON
ENSMUSG00000071984;25.918837033166774;12.939454272137766;36.75453314681358;26.388651664639667;0.0009627595532107725;0.4211666221703379;WT treated;1.2427107422599584;-0.34738491595939197;OUI;NON
ENSMUSG00000072115;1.4186881200246038;0.7182407853232526;2.4562043055959077;1.5588306506415142;0.0017898871862090486;0.2514482422878841;WT treated;1.5204479581082984;-0.52515253212337;OUI;NON
ENSMUSG00000072214;0.5253857424310874;0.43151298189088205;2.1958348209870686;0.7198583864997026;4.601914262753356e-07;1.845809390881327e-07;WT treated;2.067143851359927;-1.4787939596664956;OUI;OUI
ENSMUSG00000072591;1.764378005083028;1.6737643619453797;7.579002912779515;4.667640885212151;1.2187426339510327e-09;0.015410201582315004;WT treated;1.9153120356847972;-0.5639570944739262;OUI;OUI
ENSMUSG00000072812;3.7547130437854657;2.3830794454677533;105.93303515712442;14.910457657819153;1.0454115373246473e-57;8.773545783744683e-28;WT treated;5.2188061216999;-2.6948453183397847;OUI;OUI
ENSMUSG00000072875;0.5224356668278876;0.3747477689995407;0.9594582722391595;0.5898707331537698;0.045912032210825404;0.14224056290992687;WT treated;1.0994406590661292;-0.5654627345054215;OUI;NON
ENSMUSG00000072941;6.65190150957811;3.8989645429909547;11.873367598893454;9.69939868920421;1.2542525239718056e-06;0.6245917867649354;WT treated;1.345200615011315;-0.1637532943444292;OUI;NON
ENSMUSG00000073016;1.0478647605553735;0.47839511090462516;1.9553791900229849;0.9616190321934676;1.57604317989669e-05;0.008813981745737711;WT treated;1.7462461857897034;-0.8880758154796775;OUI;OUI
ENSMUSG00000073155;29.5839269955715;30.44046734115799;90.15918375820587;46.2157580996074;2.4999876445509965e-22;1.2056868520627586e-16;WT treated;1.2972035811093594;-0.8317934656001933;OUI;OUI
ENSMUSG00000073413;0.4055422417217519;0.5077350994270152;0.10522090877830814;0.1622628736676552;0.014229426399169392;0.550203226149027;WT treated;-2.560506494587823;0.7528674816677565;OUI;NON
ENSMUSG00000073433;0.2487681471397006;0.21081494900664194;1.4105616901381595;0.7217430608977263;2.6549609490189732e-05;0.03047530495894787;WT treated;2.478310883594974;-0.8347940517794585;OUI;OUI
ENSMUSG00000073489;4.513396547370909;3.340827049353723;8.215376688417868;4.976015938215395;0.0007912907517334285;0.09484649435786836;WT treated;1.0362112102996153;-0.5942976130428301;OUI;NON
